requirement_id,parent_ids,child_ids,applicability,verification_method,procedure_reference,execution_artifacts,success_criteria,assurance_standard,dal,lifecycle_objectives,rationale,change_log
DEMO-MAT-050,DEMO-HL-001,DEMO-OXY-060,applicable,inspection,"ATP-MAT-050 Rev A Sec 3.1","EV-MAT-050 sha256:60ad9691a9bd728c9e06a5960293600bb4ef72b2e237979d09917b21284bb735","Materials matrix shall disposition each ignition, oxygen, and enclosed-operator exposure item with accepted screening result or waiver.",NASA-STD-6001B,B,"MAT-1;MAT-2","Materials screening applies to oxygen service, ignition sources, and operator work areas.","2026-05-05T09:15:00Z nkim materials: linked materials matrix."
DEMO-OXY-060,DEMO-MAT-050,OXY-CLEAN-CERT,applicable,inspection,"ATP-OXY-060 Rev A Sec 5.1","EV-OXY-060 sha256:78ad3143d0f4f6803c03551f729c54c06192dbac6c2602b2810a09ec8bb7af9c","Oxygen-service components shall be on the approved parts list and shall have clean, bagged, capped, and tagged status before final connection.",ISO 14952,B,"OXY-1;OXY-2","GOX simulator and oxygen-cleaned components make oxygen compatibility applicable.","2026-05-05T09:45:00Z nkim materials: added cleanliness tag criterion."
DEMO-PRES-070,DEMO-HL-001,"DEMO-PRES-071;DEMO-PRES-072",applicable,inspection,"ATP-PRES-070 Rev B Sec 3.2","EV-PRES-070 sha256:69a1e47875df05c6b1f0f7dddf1a9da14e18d83f0e6d9e14546ec3319c750ac0","Accumulator certificate package shall include code basis, pressure rating, hydrostatic test report, material certification, and nameplate photograph.",ASME BPVC,B,PRES-1,"The removable accumulator is purchased as an ASME-certified vessel and accepted by certificate inspection.","2026-05-06T08:30:00Z owens pressure: inspection selected for purchased vessel certificate package."
DEMO-PRES-071,DEMO-PRES-070,PIPING-MANIFOLD,applicable,test,"ATP-PRES-070 Rev B Sec 4.1","EV-PRES-070 sha256:69a1e47875df05c6b1f0f7dddf1a9da14e18d83f0e6d9e14546ec3319c750ac0","Hydrostatic test shall be 1.5 times design pressure with no visible leakage; pneumatic pressure-decay shall be less than or equal to 1 psig over 10 minutes.",ASME B31.3,B,"PRES-2;PRES-3","Process piping manifold requires hydrostatic and leak testing.","2026-05-06T09:00:00Z owens pressure: added pressure-decay criterion."
DEMO-PRES-072,DEMO-PRES-070,HOSE-LOG,applicable,inspection,"ATP-PRES-070 Rev B Sec 4.5","EV-PRES-070 sha256:69a1e47875df05c6b1f0f7dddf1a9da14e18d83f0e6d9e14546ec3319c750ac0","Each flexible hose shall have proof-pressure certification within 12 months, valid shelf life, cleanliness caps installed, and no failed visual inspection item.",KSC-GP-864 Volume IIA,B,PRES-4,"Flexible hoses are shelf-life, cleanliness, proof-pressure, and periodic-inspection controlled.","2026-05-06T09:20:00Z owens pressure: linked hose log."
DEMO-GSE-080,DEMO-HL-001,"DEMO-GSE-081;DEMO-GSE-082;DEMO-GSE-083",applicable,inspection,"ATP-GSE-080 Rev C Sec 2.1","EV-GSE-080 sha256:c30f2d6c108f915c95659ec92ac2d88c271a73bd91bf6a8a8dbd69e3491742aa","Released GSE drawings shall show lifting, handling, access, emergency stop, labeling, and maintainability features with accepted inspection status.",GSED-2148,C,"GSE-1;GSE-2","Ground support equipment design and release requirements apply.","2026-05-07T12:00:00Z tgarcia gse: linked GSE acceptance inspection."
DEMO-GSE-081,DEMO-GSE-080,EGSE-INTERLOCKS,applicable,demonstration,"ATP-ELEC-030 Rev A Sec 5.3","EV-ELEC-030 sha256:61b74dcd0d2504df3f570918f8620bc3bc20f3f91d79da5f66cb5ecf368184b0","Emergency stop shall remove control power from all simulated flow-enable outputs within 250 milliseconds and interlocks shall prevent flow-enable when any required input is false.",GSED-2184,C,GSE-3,"Electrical GSE cabinet includes interlocks and emergency stop demonstration.","2026-05-07T12:30:00Z tgarcia gse: method set to demonstration for interlock behavior."
DEMO-GSE-082,DEMO-GSE-080,MGSE-LIFT,applicable,test,"ATP-GSE-080 Rev C Sec 3.4","EV-GSE-080 sha256:c30f2d6c108f915c95659ec92ac2d88c271a73bd91bf6a8a8dbd69e3491742aa","Lift fixture proof-load test shall complete at required load factor with no permanent deformation, failed inspection point, or unresolved NCR.",GSED-2185,C,GSE-4,"Mechanical GSE includes lift fixture and load-test evidence.","2026-05-07T13:00:00Z tgarcia gse: linked load test criterion."
DEMO-GSE-083,DEMO-GSE-080,PLC-VERSION,applicable,test,"ATP-GSE-083 Rev A Sec 4.1","EV-ELEC-030 sha256:61b74dcd0d2504df3f570918f8620bc3bc20f3f91d79da5f66cb5ecf368184b0","Programmable interlock validation shall pass all normal, inhibit, fault, and rollback cases against released logic version ATGSD-PLC-1.4.2.",GSED-2190,C,GSE-5,"Programmable interlock relay requires validation and rollback evidence.","2026-05-07T13:25:00Z tgarcia gse: added version-specific logic criterion."
DEMO-NDE-090,DEMO-STR-020,NDE-PERSONNEL,applicable,inspection,"ATP-NDE-090 Rev A Sec 2.1","EV-STR-021 sha256:6e33ff0d2a8b8dcf6af534a50d00de8c9b73bd3e4f8d8630e07758ec7c2a1a65","Each NDE record shall identify inspector certification method, level, expiration date, product form, and accepted inspection result.",AIA/NAS 410,C,NDE-1,"NDE personnel qualification certificates are inspected for weld and fracture-critical inspections.","2026-05-08T09:00:00Z vbrown quality: inspection method selected for personnel qualification certificate review."
DEMO-FAST-100,DEMO-HL-001,DEMO-HEAT-101,applicable,inspection,"ATP-PROC-100 Rev B Sec 2.2","EV-PROC-100 sha256:a4956d2142fe813397eec18a646b3020bd73d818df18d9e3b86b754394bd2022","Process records shall show drawing-required cleaning, peening, passivation, plating, or baking controls for each affected fastener or metallic part.",SAE AMS 2759/9,C,PROC-1,"Fasteners and metallic hardware require controlled process records when specified.","2026-05-08T10:20:00Z nkim materials: linked process cert package."
DEMO-HEAT-101,DEMO-FAST-100,HEAT-TREAT-CERTS,applicable,inspection,"ATP-PROC-100 Rev B Sec 2.5","EV-PROC-100 sha256:a4956d2142fe813397eec18a646b3020bd73d818df18d9e3b86b754394bd2022","Heat-treatment records shall identify furnace class, load thermocouple, material lot, quench time, and accepted material certification.",SAE AMS 2175,C,PROC-2,"Heat-treated brackets and fasteners require furnace and material certification records.","2026-05-08T10:35:00Z nkim materials: added furnace record acceptance details."
DEMO-CORR-110,DEMO-HL-001,"DEMO-CORR-111;DEMO-CORR-112",applicable,inspection,"ATP-PROC-100 Rev B Sec 3.1","EV-PROC-100 sha256:a4956d2142fe813397eec18a646b3020bd73d818df18d9e3b86b754394bd2022","Galvanized steel frame members shall average at least 85 micrometers coating thickness and have no bare areas.",ASTM A123,D,CORR-1,"Carbon-steel exterior hardware is galvanized and coating thickness is inspected.","2026-05-08T11:00:00Z nkim materials: linked coating thickness criterion."
DEMO-CORR-111,DEMO-CORR-110,PANEL-MTR,applicable,inspection,"ATP-PROC-100 Rev B Sec 3.3","EV-PROC-100 sha256:a4956d2142fe813397eec18a646b3020bd73d818df18d9e3b86b754394bd2022","Sheet panel material certifications shall identify ASTM A653 grade, G90 coating designation, heat number, and mechanical-property acceptance.",ASTM A653,D,CORR-2,"Sheet panel ASTM A653 G90 material certifications are inspected.","2026-05-08T11:15:00Z nkim materials: method set to inspection for material cert review."
DEMO-CORR-112,DEMO-CORR-110,ATGSD-WVR-003,conditional,inspection,"ATP-PROC-100 Rev B Sec 3.5","EV-PROC-100 sha256:a4956d2142fe813397eec18a646b3020bd73d818df18d9e3b86b754394bd2022","No oxygen-service or routinely touched crew-accessible hardware shall contain cadmium plating; sealed relay exception shall match approved waiver ATGSD-WVR-003.",SAE AMS 2404,B,CORR-3,"Cadmium plating is prohibited except for one approved sealed-relay waiver.","2026-05-08T11:30:00Z nkim materials: conditional disposition added for approved sealed relay waiver."
DEMO-PACK-120,DEMO-HL-001,PACK-INSPECTION,applicable,inspection,"ATP-PACK-120 Rev A Sec 4.1","EV-PACK-120 sha256:adf066a20f139a05ad0de295f912c5bdf7248d2adc3653ff9965984eab45b289","Critical packages shall show desiccant, humidity indicator, protective caps, FOD covers, shock-watch status, and no transport damage.",ASTM D4174,C,"PACK-1;PACK-2","Critical parts require preservation, packaging, FOD, shock, and moisture controls.","2026-05-09T08:45:00Z srodriguez logistics: linked packaging inspection."
DEMO-PYRO-130,DEMO-HL-001,ATGSD-WVR-001,not_applicable,other,"ATGSD-SAD-001 Rev C Sec Exclusions","ATGSD-WVR-001;EV-RS-010 sha256:0f6f7d2737d4ebca8d4e481ba7b49b9b0c2a0a9157a0bc97b9a57ef559102010","Architecture and hazard analysis shall both state that no explosive, pyrotechnic, energetic device, firing circuit, initiator, or pyrotechnic connector exists.",NASA-STD-8719.12,B,PYRO-1,"Architecture and hazard analysis exclude explosive, pyrotechnic, and energetic devices.","2026-05-09T09:10:00Z mlee safety: changed applicability to not_applicable based on WVR-001 and HAZ-005."
DEMO-MSFC-140,DEMO-HL-001,SEAL-MTR,applicable,inspection,"ATP-OXY-060 Rev A Sec 5.4","EV-OXY-060 sha256:78ad3143d0f4f6803c03551f729c54c06192dbac6c2602b2810a09ec8bb7af9c","Each elastomeric seal lot shall have compound ID, cure date, dimensional acceptance, batch traceability, and compression-set certificate.",MSFC-SPEC-445,C,"SEAL-1;SEAL-2","Elastomeric pressure-system seals are procured to project MSFC-SPEC-445 notes.","2026-05-09T09:35:00Z nkim materials: linked seal material traceability."
